State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Region
Arunachal Pradesh,2019,4,Merchant payments,19769,23192271.69,North-Eastern Region
Arunachal Pradesh,2019,4,Financial Services,314,305379.7988,North-Eastern Region
Arunachal Pradesh,2019,4,Others,2376,3421174.012,North-Eastern Region
Arunachal Pradesh,2020,1,Recharge & bill payments,329834,86011654.77,North-Eastern Region
Arunachal Pradesh,2020,1,Peer-to-peer payments,203429,1263912288,North-Eastern Region
Arunachal Pradesh,2020,1,Merchant payments,31181,28553052.13,North-Eastern Region
Arunachal Pradesh,2020,1,Financial Services,470,337812.9482,North-Eastern Region
Arunachal Pradesh,2020,1,Others,2261,2943873.067,North-Eastern Region
Arunachal Pradesh,2020,2,Recharge & bill payments,522495,145198528.2,North-Eastern Region
Arunachal Pradesh,2020,2,Peer-to-peer payments,247861,1630654426,North-Eastern Region
Arunachal Pradesh,2020,2,Merchant payments,35169,46446966.61,North-Eastern Region
Arunachal Pradesh,2020,2,Financial Services,1310,2655507.696,North-Eastern Region
Arunachal Pradesh,2020,2,Others,1939,1761404.402,North-Eastern Region
Arunachal Pradesh,2020,3,Recharge & bill payments,514907,153463816.2,North-Eastern Region
Arunachal Pradesh,2020,3,Peer-to-peer payments,370418,2361603431,North-Eastern Region
Arunachal Pradesh,2020,3,Merchant payments,72736,88145178.69,North-Eastern Region
Arunachal Pradesh,2020,3,Financial Services,1761,4030599.917,North-Eastern Region
Arunachal Pradesh,2020,3,Others,3005,2695539.361,North-Eastern Region
Arunachal Pradesh,2020,4,Peer-to-peer payments,522019,3254744938,North-Eastern Region
Arunachal Pradesh,2020,4,Recharge & bill payments,513895,152389181.2,North-Eastern Region
Arunachal Pradesh,2020,4,Merchant payments,167387,156682926,North-Eastern Region
Arunachal Pradesh,2020,4,Financial Services,1749,2391651.878,North-Eastern Region
Arunachal Pradesh,2020,4,Others,4079,4055324.315,North-Eastern Region
Arunachal Pradesh,2021,1,Peer-to-peer payments,566209,3460488559,North-Eastern Region
Arunachal Pradesh,2021,1,Recharge & bill payments,450649,142358376.9,North-Eastern Region
Arunachal Pradesh,2021,1,Merchant payments,155966,204958020.1,North-Eastern Region
Arunachal Pradesh,2021,1,Financial Services,1558,2672460.474,North-Eastern Region
Arunachal Pradesh,2021,1,Others,3074,3301662.609,North-Eastern Region
Arunachal Pradesh,2021,2,Peer-to-peer payments,762946,4000960152,North-Eastern Region
Arunachal Pradesh,2021,2,Recharge & bill payments,556680,165579844.3,North-Eastern Region
Arunachal Pradesh,2021,2,Merchant payments,243375,283709438.5,North-Eastern Region
Arunachal Pradesh,2021,2,Financial Services,1582,2761076.793,North-Eastern Region
Arunachal Pradesh,2021,2,Others,3755,3415105.338,North-Eastern Region
Arunachal Pradesh,2021,3,Peer-to-peer payments,986088,5033603845,North-Eastern Region
Arunachal Pradesh,2021,3,Recharge & bill payments,600102,187390578.3,North-Eastern Region
Arunachal Pradesh,2021,3,Merchant payments,314658,449869060.8,North-Eastern Region
Arunachal Pradesh,2021,3,Financial Services,1934,3348547.827,North-Eastern Region
Arunachal Pradesh,2021,3,Others,4185,3912143.35,North-Eastern Region
Arunachal Pradesh,2021,4,Peer-to-peer payments,1227616,6022733378,North-Eastern Region
Arunachal Pradesh,2021,4,Recharge & bill payments,633248,207784816.3,North-Eastern Region
Arunachal Pradesh,2021,4,Merchant payments,521447,704195695,North-Eastern Region
Arunachal Pradesh,2021,4,Financial Services,2386,3933557.28,North-Eastern Region
Arunachal Pradesh,2021,4,Others,5901,4862905.886,North-Eastern Region
Arunachal Pradesh,2022,1,Peer-to-peer payments,1403584,6670641250,North-Eastern Region
Arunachal Pradesh,2022,1,Merchant payments,720803,917155358.7,North-Eastern Region
Arunachal Pradesh,2022,1,Recharge & bill payments,670576,231933129,North-Eastern Region
Arunachal Pradesh,2022,1,Financial Services,3053,3359625.793,North-Eastern Region
Arunachal Pradesh,2022,1,Others,6052,5002264.113,North-Eastern Region
Arunachal Pradesh,2022,2,Peer-to-peer payments,1751568,7627061475,North-Eastern Region
Arunachal Pradesh,2022,2,Merchant payments,1108353,1255513517,North-Eastern Region
Arunachal Pradesh,2022,2,Recharge & bill payments,688770,241162643.2,North-Eastern Region
Arunachal Pradesh,2022,2,Financial Services,2466,4063469.1,North-Eastern Region
Arunachal Pradesh,2022,2,Others,5768,3864269.88,North-Eastern Region
Arunachal Pradesh,2022,3,Peer-to-peer payments,1967086,7365427284,North-Eastern Region
Arunachal Pradesh,2022,3,Merchant payments,1316326,1413247143,North-Eastern Region
Arunachal Pradesh,2022,3,Recharge & bill payments,649322,238448083.8,North-Eastern Region
Arunachal Pradesh,2022,3,Financial Services,1997,4763324.776,North-Eastern Region
Arunachal Pradesh,2022,3,Others,4687,3224948.702,North-Eastern Region
Arunachal Pradesh,2022,4,Peer-to-peer payments,2251135,7768088688,North-Eastern Region
Arunachal Pradesh,2022,4,Merchant payments,1704968,1669602213,North-Eastern Region
Arunachal Pradesh,2022,4,Recharge & bill payments,669151,239412553.6,North-Eastern Region
Arunachal Pradesh,2022,4,Financial Services,2617,3785469.399,North-Eastern Region
Arunachal Pradesh,2022,4,Others,4838,4020773.895,North-Eastern Region
Assam,2018,1,Recharge & bill payments,632092,93491181.14,North-Eastern Region
Assam,2018,1,Peer-to-peer payments,318025,993525196,North-Eastern Region
Assam,2018,1,Merchant payments,40482,34501622.89,North-Eastern Region
Assam,2018,1,Financial Services,18172,4936862.201,North-Eastern Region
Assam,2018,1,Others,48110,31349594,North-Eastern Region
Assam,2018,2,Recharge & bill payments,984160,174427478.2,North-Eastern Region
Assam,2018,2,Peer-to-peer payments,530781,2064314053,North-Eastern Region
Assam,2018,2,Merchant payments,79307,73366344.81,North-Eastern Region
Assam,2018,2,Financial Services,22773,7051504.658,North-Eastern Region
Assam,2018,2,Others,46852,31425754.73,North-Eastern Region
Assam,2018,3,Recharge & bill payments,1275136,254569069.3,North-Eastern Region
Assam,2018,3,Peer-to-peer payments,843571,3424136710,North-Eastern Region
Assam,2018,3,Merchant payments,159532,96783839.37,North-Eastern Region
Assam,2018,3,Financial Services,22677,4741123.822,North-Eastern Region
Assam,2018,3,Others,50935,30904247.88,North-Eastern Region
Assam,2018,4,Recharge & bill payments,1703488,317661277.3,North-Eastern Region
Assam,2018,4,Peer-to-peer payments,1279089,5284776455,North-Eastern Region
Assam,2018,4,Merchant payments,667293,240563395.3,North-Eastern Region
Assam,2018,4,Financial Services,28035,6331912.527,North-Eastern Region
Assam,2018,4,Others,56267,38689818.79,North-Eastern Region
Assam,2019,1,Recharge & bill payments,1993220,400281677.9,North-Eastern Region
Assam,2019,1,Peer-to-peer payments,1976310,7291433301,North-Eastern Region
Assam,2019,1,Merchant payments,494871,266644645.7,North-Eastern Region
Assam,2019,1,Financial Services,20162,4612454.113,North-Eastern Region
Assam,2019,1,Others,48442,39127457.94,North-Eastern Region
Assam,2019,2,Recharge & bill payments,2512932,539315772.9,North-Eastern Region
Assam,2019,2,Peer-to-peer payments,2293770,10035232821,North-Eastern Region
Assam,2019,2,Merchant payments,573646,326844709.6,North-Eastern Region
Assam,2019,2,Financial Services,13654,4037222.414,North-Eastern Region
Assam,2019,2,Others,60927,49538663.41,North-Eastern Region
Assam,2019,3,Peer-to-peer payments,2713539,11835800855,North-Eastern Region
Assam,2019,3,Recharge & bill payments,2645302,639885372.7,North-Eastern Region
Assam,2019,3,Merchant payments,513728,421380275.4,North-Eastern Region
Assam,2019,3,Financial Services,8606,6403456.345,North-Eastern Region
Assam,2019,3,Others,61396,46973660.74,North-Eastern Region
Assam,2019,4,Peer-to-peer payments,3222143,14083346879,North-Eastern Region
Assam,2019,4,Recharge & bill payments,2937800,704118874,North-Eastern Region
Assam,2019,4,Merchant payments,544053,456318130.1,North-Eastern Region
Assam,2019,4,Financial Services,9621,3492255.086,North-Eastern Region
Assam,2019,4,Others,46893,34707757.01,North-Eastern Region
Assam,2020,1,Peer-to-peer payments,4058740,18977446152,North-Eastern Region
Assam,2020,1,Recharge & bill payments,3897975,971722606.2,North-Eastern Region
Assam,2020,1,Merchant payments,792646,675423853,North-Eastern Region
Assam,2020,1,Financial Services,10173,7054325.508,North-Eastern Region
Assam,2020,1,Others,49326,36781411.34,North-Eastern Region
Assam,2020,2,Recharge & bill payments,6045321,1612522829,North-Eastern Region
Assam,2020,2,Peer-to-peer payments,3648386,17358374071,North-Eastern Region
Assam,2020,2,Merchant payments,742400,749018053.2,North-Eastern Region
Assam,2020,2,Financial Services,19814,18130004.69,North-Eastern Region
Assam,2020,2,Others,49278,28255168.01,North-Eastern Region
Assam,2020,3,Peer-to-peer payments,5637893,26646565777,North-Eastern Region
Assam,2020,3,Recharge & bill payments,5292154,1627282416,North-Eastern Region
